image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001473056_Raw12_f_00003.jpg,3355,2970,1780,1780
0001473056_Raw13_f_00001.jpg,6603,5440,2230,2230
0001473056_Raw13_f_00002.jpg,3787,3360,2078,2078
0001473056_Raw13_f_00003.jpg,3975,3496,1841,1841
0001473126_Raw00_f_00002.jpg,1714,1673,857,857
0001473126_Raw00_f_00004.jpg,1892,1823,932,932
0001473126_Raw00_f_00007.jpg,1564,1523,828,828
0001473126_Raw00_f_00010.jpg,1782,1728,998,998
0001473126_Raw01_f_00001.jpg,2971,2792,1653,1653
0001473126_Raw01_f_00009.jpg,2818,2449,1288,1288
0001473126_Raw01_f_00010.jpg,3547,3164,1738,1738
0001473126_Raw01_f_00012.jpg,2417,2284,1336,1336
0001473126_Raw02_f_00010.jpg,1791,1722,723,723
0001473126_Raw03_f_00010.jpg,1497,1455,1001,1001
0001473126_Raw11_f_00012.jpg,708,691,545,545
0001473126_Raw12_f_00012.jpg,2581,2507,1774,1774
0001473148_Raw00_f_00001.jpg,2112,2023,1236,1236
0001473148_Raw00_f_00006.jpg,1766,1717,1102,1102
0001473148_Raw00_f_00008.jpg,1689,1634,871,871
0001473148_Raw00_f_00012.jpg,1785,1714,972,972
0001473148_Raw01_f_00006.jpg,2659,2536,1589,1589
0001473148_Raw02_f_00007.jpg,1757,1730,910,910
0001473148_Raw02_f_00009.jpg,1844,1823,864,864
0001473148_Raw02_f_00011.jpg,1455,1324,631,631
0001473148_Raw02_f_00012.jpg,1542,1168,495,495
0001473148_Raw02_f_00013.jpg,1224,1169,886,886
0001473148_Raw03_f_00009.jpg,1987,1915,1259,1259
0001473148_Raw03_f_00011.jpg,1733,1449,887,887
0001473148_Raw03_f_00013.jpg,1379,1314,999,999
0001473148_Raw12_f_00008.jpg,3114,2662,1600,1600
0001473149_Raw00_f_00002.jpg,1665,1603,915,915
0001473149_Raw00_f_00004.jpg,1399,1366,820,820
0001473149_Raw00_f_00005.jpg,1762,1539,814,814
0001473149_Raw00_f_00007.jpg,1538,1443,808,808
0001473149_Raw00_f_00008.jpg,1770,1706,990,990
0001473149_Raw00_f_00011.jpg,1446,1425,833,833
0001473149_Raw00_f_00013.jpg,1420,1363,882,882
0001473149_Raw01_f_00004.jpg,1919,1835,1073,1073
0001473149_Raw01_f_00010.jpg,1817,1758,1026,1026
0001473149_Raw01_f_00013.jpg,1846,1810,1120,1120
0001473149_Raw02_f_00001.jpg,1619,1523,770,770
0001473149_Raw02_f_00007.jpg,1595,1557,831,831
0001473149_Raw02_f_00010.jpg,1615,1601,878,878
0001473149_Raw02_f_00013.jpg,1633,1614,946,946
0001473149_Raw03_f_00001.jpg,1667,1551,1040,1040
0001473149_Raw03_f_00004.jpg,1823,1747,1137,1137
0001473149_Raw03_f_00013.jpg,1585,1531,1074,1074
0001473149_Raw11_f_00002.jpg,560,534,386,386
0001474140_Raw01_f_00003.jpg,4065,3536,1793,1793
0001474140_Raw01_f_00004.jpg,2765,2465,1640,1640
0001474140_Raw02_f_00004.jpg,4973,4201,2224,2224
0001474140_Raw03_f_00003.jpg,2251,2066,1637,1637
0001474140_Raw12_f_00001.jpg,3214,2845,1747,1747
0001474140_Raw13_f_00003.jpg,7816,6466,2916,2916
0001480389_Raw00_f_00000.jpg,1431,1409,936,936
0001482852_Raw02_f_00001.jpg,2425,2289,1040,1040
0001483149_Raw01_f_00001.jpg,4302,3789,1995,1995
0001487223_Raw03_f_00005.jpg,1043,989,724,724
0001488661_Raw00_f_00007.jpg,3077,2932,1443,1443
0001488924_Raw01_f_00009.jpg,2366,2274,1071,1071
0001497752_Raw00_f_00010.jpg,5998,5591,3046,3046
0001498689_Raw00_f_00001.jpg,5495,5220,3220,3220
0001498711_Raw00_f_00001.jpg,3247,2916,1421,1421
0001498711_Raw12_f_00006.jpg,2260,2110,1395,1395
0001498711_Raw12_f_00008.jpg,2525,2359,1616,1616
0001498711_Raw12_f_00009.jpg,2228,2011,1331,1331
0001498711_Raw13_f_00009.jpg,2600,2420,1652,1652
0001498726_Raw01_f_00009.jpg,2343,2183,1325,1325
0001498726_Raw02_f_00007.jpg,3688,3520,1975,1975
0001498730_Raw02_f_00003.jpg,2802,2577,1302,1302
0001498730_Raw13_f_00010.jpg,1709,1588,1227,1227
0001498734_Raw13_f_00010.jpg,2297,2092,1395,1395
0001498751_Raw00_f_00005.jpg,1502,1477,458,458
0001499717_Raw00_f_00001.jpg,4765,4470,2275,2275
0001499720_Raw01_f_00005.jpg,5358,4892,2403,2403
0001499720_Raw02_f_00003.jpg,4035,3747,2127,2127
0001499720_Raw02_f_00004.jpg,4290,3966,1991,1991
0001499724_Raw12_f_00013.jpg,3687,3305,2111,2111
0001499724_Raw13_f_00013.jpg,4801,4384,2745,2745
0001499737_Raw00_f_00002.jpg,3786,3487,1960,1960
0001499737_Raw00_f_00008.jpg,3845,3424,1548,1548
0001499752_Raw10_f_00006.jpg,679,649,560,560
0001499756_Raw01_f_00005.jpg,2456,2341,720,720
0001499782_Raw01_f_00011.jpg,4008,3698,1886,1886
0001499782_Raw02_f_00008.jpg,3164,2766,966,966
0001499782_Raw02_f_00009.jpg,3355,2996,1074,1074
0001500011_Raw00_f_00002.jpg,2924,2749,1200,1200
0001500011_Raw02_f_00002.jpg,3264,3106,1642,1642
0001500011_Raw13_f_00005.jpg,2322,2091,1198,1198
0001500011_Raw13_f_00009.jpg,2057,1852,1195,1195
0001500036_Raw13_f_00001.jpg,3450,3058,1719,1719
0001500036_Raw13_f_00007.jpg,1791,1705,1119,1119
0001500048_Raw02_f_00002.jpg,7336,6686,3421,3421
0001500048_Raw11_f_00012.jpg,1272,1213,881,881
0001500088_Raw00_f_00010.jpg,4443,3958,1718,1718
0001500088_Raw01_f_00000.jpg,2052,1930,1508,1508
0001500088_Raw13_f_00006.jpg,3712,3524,2170,2170
0001500105_Raw02_f_00008.jpg,2560,2465,631,631
0001500133_Raw01_f_00006.jpg,3920,3708,2514,2514
0001500133_Raw13_f_00007.jpg,2109,1973,1207,1207
0001500191_Raw02_f_00007.jpg,4133,4004,2497,2497
0001500191_Raw03_f_00008.jpg,1943,1846,1408,1408
0001500199_Raw01_f_00001.jpg,2745,2554,1544,1544
0001506217_Raw02_f_00004.jpg,2129,2046,1123,1123
0001506247_Raw01_f_00004.jpg,1663,1596,800,800
0001507084_Raw00_f_00002.jpg,3590,3335,2023,2023
0001507084_Raw01_f_00000.jpg,3587,3201,1946,1946
0001507084_Raw01_f_00001.jpg,4125,3613,1892,1892
0001507084_Raw03_f_00004.jpg,1595,1542,1118,1118
0001507157_Raw00_f_00003.jpg,4397,4042,2199,2199
0001507157_Raw00_f_00004.jpg,4537,4196,2298,2298
