image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001473148_Raw02_f_00011.jpg,1455,1455,1144,1144
0001473148_Raw02_f_00012.jpg,1542,1542,945,945
0001473148_Raw02_f_00013.jpg,1224,1224,1113,1113
0001473148_Raw03_f_00009.jpg,1987,1987,1777,1777
0001473148_Raw03_f_00011.jpg,1733,1733,1298,1298
0001473148_Raw03_f_00013.jpg,1379,1379,1254,1254
0001473148_Raw12_f_00008.jpg,3114,3114,2542,2542
0001473149_Raw00_f_00002.jpg,1665,1665,1365,1365
0001473149_Raw00_f_00004.jpg,1399,1399,1207,1207
0001473149_Raw00_f_00005.jpg,1762,1762,1341,1341
0001473149_Raw00_f_00007.jpg,1538,1538,1294,1294
0001473149_Raw00_f_00008.jpg,1770,1770,1540,1540
0001473149_Raw00_f_00011.jpg,1446,1446,1270,1270
0001473149_Raw00_f_00013.jpg,1420,1420,1201,1201
0001473149_Raw01_f_00004.jpg,1919,1919,1697,1697
0001473149_Raw01_f_00010.jpg,1817,1817,1585,1585
0001473149_Raw01_f_00013.jpg,1846,1846,1631,1631
0001473149_Raw02_f_00001.jpg,1619,1619,1291,1291
0001473149_Raw02_f_00007.jpg,1595,1595,1414,1414
0001473149_Raw02_f_00010.jpg,1615,1615,1442,1442
0001473149_Raw02_f_00013.jpg,1633,1633,1476,1476
0001473149_Raw03_f_00001.jpg,1667,1667,1417,1417
0001473149_Raw03_f_00004.jpg,1823,1823,1622,1622
0001473149_Raw03_f_00013.jpg,1585,1585,1447,1447
0001473149_Raw11_f_00002.jpg,560,560,524,524
0001474140_Raw01_f_00003.jpg,4065,4065,2984,2984
0001474140_Raw01_f_00004.jpg,2765,2765,2443,2443
0001474140_Raw02_f_00004.jpg,4973,4973,4107,4107
0001474140_Raw03_f_00003.jpg,2251,2251,2055,2055
0001474140_Raw12_f_00001.jpg,3214,3214,2551,2551
0001474140_Raw13_f_00003.jpg,7816,7816,5814,5814
0001480389_Raw00_f_00000.jpg,1431,1431,1258,1258
0001482852_Raw02_f_00001.jpg,2425,2425,2033,2033
0001483149_Raw01_f_00001.jpg,4302,4302,3302,3302
0001487223_Raw03_f_00005.jpg,1043,1043,904,904
0001488661_Raw00_f_00007.jpg,3077,3077,2442,2442
0001488924_Raw01_f_00009.jpg,2366,2366,1947,1947
0001497752_Raw00_f_00010.jpg,5998,5998,5016,5016
0001498689_Raw00_f_00001.jpg,5495,5495,4760,4760
0001498711_Raw00_f_00001.jpg,3247,3247,2472,2472
0001498711_Raw12_f_00006.jpg,2260,2260,1934,1934
0001498711_Raw12_f_00008.jpg,2525,2525,2179,2179
0001498711_Raw12_f_00009.jpg,2228,2228,1889,1889
0001498711_Raw13_f_00009.jpg,2600,2600,2263,2263
0001498726_Raw01_f_00009.jpg,2343,2343,2040,2040
0001498726_Raw02_f_00007.jpg,3688,3688,3164,3164
0001498730_Raw02_f_00003.jpg,2802,2802,2183,2183
0001498730_Raw13_f_00010.jpg,1709,1709,1546,1546
0001498734_Raw13_f_00010.jpg,2297,2297,1981,1981
0001498751_Raw00_f_00005.jpg,1502,1502,1189,1189
0001499717_Raw00_f_00001.jpg,4765,4765,3829,3829
0001499720_Raw01_f_00005.jpg,5358,5358,4198,4198
0001499720_Raw02_f_00003.jpg,4035,4035,3391,3391
0001499720_Raw02_f_00004.jpg,4290,4290,3469,3469
0001499724_Raw12_f_00013.jpg,3687,3687,3007,3007
0001499724_Raw13_f_00013.jpg,4801,4801,3918,3918
0001499737_Raw00_f_00002.jpg,3786,3786,3031,3031
0001499737_Raw00_f_00008.jpg,3845,3845,2748,2748
0001499752_Raw10_f_00006.jpg,679,679,635,635
0001499756_Raw01_f_00005.jpg,2456,2456,1767,1767
0001499782_Raw01_f_00011.jpg,4008,4008,3352,3352
0001499782_Raw02_f_00008.jpg,3164,3164,2426,2426
0001499782_Raw02_f_00009.jpg,3355,3355,2484,2484
0001500011_Raw00_f_00002.jpg,2924,2924,2258,2258
0001500011_Raw02_f_00002.jpg,3264,3264,2724,2724
0001500011_Raw13_f_00005.jpg,2322,2322,1835,1835
0001500011_Raw13_f_00009.jpg,2057,2057,1736,1736
0001500036_Raw13_f_00001.jpg,3450,3450,2801,2801
0001500036_Raw13_f_00007.jpg,1791,1791,1515,1515
0001500048_Raw02_f_00002.jpg,7336,7336,6001,6001
0001500048_Raw11_f_00012.jpg,1272,1272,1125,1125
0001500088_Raw00_f_00010.jpg,4443,4443,3201,3201
0001500088_Raw01_f_00000.jpg,2052,2052,1876,1876
0001500088_Raw13_f_00006.jpg,3712,3712,3184,3184
0001500105_Raw02_f_00008.jpg,2560,2560,1856,1856
0001500133_Raw01_f_00006.jpg,3920,3920,3496,3496
0001500133_Raw13_f_00007.jpg,2109,2109,1787,1787
0001500191_Raw02_f_00007.jpg,4133,4133,3685,3685
0001500191_Raw03_f_00008.jpg,1943,1943,1768,1768
0001500199_Raw01_f_00001.jpg,2745,2745,2344,2344
0001506217_Raw02_f_00004.jpg,2129,2129,1834,1834
0001506247_Raw01_f_00004.jpg,1663,1663,1400,1400
0001507084_Raw00_f_00002.jpg,3590,3590,3154,3154
0001507084_Raw01_f_00000.jpg,3587,3587,2778,2778
0001507084_Raw01_f_00001.jpg,4125,4125,3104,3104
0001507084_Raw03_f_00004.jpg,1595,1595,1416,1416
0001507157_Raw00_f_00003.jpg,4397,4397,3458,3458
0001507157_Raw00_f_00004.jpg,4537,4537,3534,3534
0001507157_Raw00_f_00005.jpg,4693,4693,3455,3455
0001507157_Raw01_f_00001.jpg,5611,5611,4667,4667
0001507157_Raw01_f_00003.jpg,4206,4206,3378,3378
0001507157_Raw01_f_00005.jpg,4815,4815,3587,3587
0001507356_Raw00_f_00011.jpg,2951,2951,2384,2384
0001507356_Raw01_f_00003.jpg,3451,3451,2717,2717
0001507356_Raw03_f_00004.jpg,2468,2468,2077,2077
0001508776_Raw00_f_00001.jpg,1695,1695,1371,1371
0001508776_Raw01_f_00005.jpg,1883,1883,1581,1581
0001508776_Raw13_f_00002.jpg,2866,2866,2335,2335
0001508779_Raw01_f_00007.jpg,1725,1725,1443,1443
0001508779_Raw01_f_00010.jpg,2059,2059,1791,1791
